Time,Temperature (Â°C),Pressure (kPa)
01:12:50,25.188,102.223
01:27:51,25.42,102.225
01:42:51,25.265,102.218
01:57:52,25.282,102.22
02:12:52,25.221,102.213
02:27:52,25.221,102.195
02:42:53,25.144,102.178
02:57:53,25.027,102.162
03:12:53,25.076,102.178
03:27:54,24.997,102.147
03:42:54,25.004,102.146
03:57:54,25.018,102.152
04:12:55,24.938,102.148
04:27:55,24.843,102.137
04:42:56,24.78,102.14
04:57:56,24.739,102.154
05:12:56,24.553,102.14
05:27:57,24.521,102.163
05:42:57,24.389,102.188
05:57:57,24.463,102.194
06:12:58,24.468,102.203
06:27:58,24.479,102.213
06:42:58,24.445,102.238
06:57:59,24.497,102.238
07:12:59,24.622,102.257
07:28:00,24.766,102.237
07:43:00,24.92,102.238
07:58:00,24.866,102.26
08:13:01,24.909,102.266
08:28:01,24.996,102.278
08:43:01,25.104,102.264
08:58:02,25.21,102.273
09:13:02,25.271,102.292
09:28:02,25.376,102.302
09:43:03,25.428,102.29
09:58:03,25.534,102.286
10:13:04,25.611,102.274
10:28:04,25.764,102.277
10:43:04,25.873,102.281
10:58:05,25.922,102.273
11:13:05,26.033,102.233
11:28:05,26.121,102.235
11:43:06,26.194,102.214
11:58:06,26.243,102.189
12:13:06,26.395,102.167
12:28:07,26.441,102.168
12:43:07,26.429,102.135
12:58:08,26.792,102.131
13:13:08,26.899,102.116
13:28:08,26.946,102.105
13:43:09,27.043,102.069
13:58:09,27.077,102.064
14:13:09,27.181,102.058
14:28:10,27.272,102.05
14:43:10,27.014,102.003
14:58:10,27.157,101.995
15:13:11,27.3,101.991
15:28:11,27.349,101.989
15:43:12,27.409,101.982
15:58:12,27.28,101.988
16:13:12,27.372,101.994
16:28:13,27.389,102.008
16:43:13,27.616,102.02
16:58:13,27.365,102.017
17:13:14,27.265,102.043
17:28:14,27.057,102.059
17:43:15,27.132,102.07
17:58:15,27.036,102.08
18:13:15,26.629,102.073
18:28:16,26.39,102.087
18:43:16,26.428,102.094
18:58:16,26.324,102.117
19:13:17,26.08,102.116
19:28:17,26.013,102.14
19:43:17,26.071,102.163
19:58:18,25.974,102.176
20:13:18,25.904,102.203
20:28:19,25.898,102.21
20:43:19,25.922,102.219
20:58:19,25.669,102.244
21:13:20,25.734,102.263
21:28:20,25.568,102.26
21:43:20,25.674,102.277
21:58:21,25.752,102.283
22:13:21,25.721,102.287
22:28:21,25.734,102.292
22:43:22,25.582,102.278
22:58:22,25.788,102.272
23:13:23,25.706,102.282
23:28:23,25.622,102.268
23:43:23,25.591,102.249
23:58:24,25.491,102.259
00:13:24,25.312,102.251
00:28:24,25.225,102.235
00:43:25,25.155,102.226
00:58:25,25.08,102.229
